Numéros	Dates	Heures	Lieux	Dept ou pays	Cotes archives du dossier	Détails sommaires de l'observation	Média	Consultation
121	1999,10,27	19:45:00	St Valéry en Caux (76)	76	991027	Boule verte avec halo blanc en descende droite - traj O/E	 	Base ARCADIA
122	1999,10,28	 	Halifax	Québec	ME991028	Météorite se scindant en plusieurs morceaux	 	Base ARCADIA
123	1999,11,05	22:45:00	Maurepas	78	991105	Triangle avec 3 feux blans à chaque extrémité + un flash rouge au centre	 	Base ARCADIA
124	1999,11,05	01:30:00	Maurepas	78	991105b	3 feux blanc disposés en triangle planant sur Poncahrtrain	 	Base ARCADIA
125	1999,11,17	07:30:00	Paris 12ème*	75	991117	objet sphèrique en rotation sur lui-même+feux et faisceaux+avions de chasse autour (pos canul)	 	Base ARCADIA
126	1999,11,18	01:30:00	Gaillon (27)	27	991118	Enorme lueur blanche deriere les nuages, Azt/NO HA/20° presence alternat jusqu'à 2h35 voir+	 	Base ARCADIA
127	1999,11,19	18:04:00	Courcelle sur Seine	27	991119	Boule jaune+ trainée en vol trés rapide vers l'Est (20")	 	Base ARCADIA
128	1999,11,19	 	Boulogne sur Mer	59	991119b	Cigare Orange	 	Base ARCADIA
129	2000,02,16	17:25:00	Savigny le Temple	77		boules stationnaires 25' : cas rapporté par Banque OVNI	 	Base ARCADIA
130	2000,03,02	00:31:00	Plaine de Caen	14	20000302	Trainée intense qui s'est terminée par de multiples éclats (genre fusée d'artifice)	 	Base ARCADIA
131	2000,03,04	23:07:00	Plaine de Caen	14	20000304	Le ciel s'est complètement éclairé (2 à 3") avec des variations d'intensité	 	Base ARCADIA
132	2000,03,11	05:30:00	Bamako	Mali	990311	disque éclairé de la taille apparente d’une assiette	 	Base ARCADIA
133	2000,06,18	00:20:00	Gasny et La Roche Guyon	27-95	20000618	Apparition d'une boule de lumière blanche, boucle à 180°, disparition presque immédiate	 	Base ARCADIA
134	2000,08,25	22:00:00	Col de Vence *	6	20000825	Triangle de plusieurs dizaine de metre; evolution 80km/h	 	Base ARCADIA
135	2000,08,00	 	ST MAUR DES FOSSES	94	20000800	un cigare avec deux feux à ses extrémités	 	Base ARCADIA
136	2001,01,13	20:50:00	Limoges *	 	20010113	Source lumineuse resseblant à un réflecteur d'avion ou de hélicoptère	 	Base ARCADIA
137	2001,05,11	17:20:00	St Valéry en Caux	76	20010511	Une masse ayant la forme d'un dôme gris	 	Base ARCADIA
138	2001,05,12	16:30:00	Auffray	76	20010512	objet blanc de forme rectangulaire glissant sur le sol	 	Base ARCADIA
139	2001,05,16	13:15:00	La Neuville Champ d'Oissel	76	20010516	objet blanc en forme de boomerang tournant sur lui-même dans le ciel du Pays de Caux	 	Base ARCADIA
140	2001,07,15	13:40:00	Boss (Aéroport)	76	20010715	objet noir en forme de chauve-souris évolueant au dessus des pistes	 	Base ARCADIA
141	2001,08,00	 	divers lieux en France	71	20010800	divers objets vus à Digouin, Sagy etc,,,	 	Base ARCADIA
142	2001,08,06	23:00:00	Auch *	32	20010806	2 Ovales lumineux blanc, en vol rectiligne à 30 min d'interval	 	Base ARCADIA
143	2001,08,12	00:15:00	Montréal *	Quebec	20010812	Objet rond avec faisceaux orangés	 	Base ARCADIA
144	2001,08,14	23:05:00	Brest	29	20010814	une traînée importante derrière 1 objet en forme de U (méprise possible avec ISS)	 	Base ARCADIA
145	2001,08,14	23:00:00	St Valery en Caux	46	20010814b	boule blanche puis trainée formant un boomrang (méprise possible avec ISS)	 	Base ARCADIA
146	2001,08,21	23:00:00	Foncouverte *	76	20010821	petits points lumineux en vol saccadé	 	Base ARCADIA
147	2001,08,28	05:30:00	Laval *	53	20010828	Triangle avec une trajectoire inconstante	 	Base ARCADIA
148	2001,09,07	21:00:00	Hte-Garonne et Comminges *	31	20010907	Objet en forme d'oeuf rouge-orange vif ou comme la lune rousse suivie d'une long, trn blanche	presse	Base ARCADIA
149	2001,09,17	 	Ponté de Lima *	Portugal	20010917	Objet en vol; Trajectoire Sud Nord	presse	Base ARCADIA
150	2001,09,23	21:10:00	Région Nantaise *	44	20010923	Forme triangulaire avec feux blanc et faisceaux orangés	 	Base ARCADIA
151	2001,09,26	01:00:00	Coxyde *	Belgique	20010926	Forme triangulaire en vol on-stationnaire, et linéaire	 	Base ARCADIA
152	2001,10,16	22:15:00	Aswan *	Egypte	20011016	Un grand V constitué d’une série de lumières réparties symétriquement de couleur blanche	 	Base ARCADIA
153	2001,12,01	23:30:00	Europe	Angleterre France Belgique	20010112	Débris de fusée Proton après la mise sur orbite d'un satellite Glonass	presse	Base ARCADIA
154	2001,12,07	20:30:00	St Geneviève Les Gasny	27	20010712	Une couronne de lumière multicolore, forme de nid d'oiseau, Ni mouvement ni bruit,	 	Base ARCADIA
155	2002,07,07	 	Gonfelgang	57	20020716	crops circles	presse	Base ARCADIA
156	2002,06,00	 	Thône	74	20021008	OVNI photographié incidement près de Thone (Haut-Savoie)	photo	Base ARCADIA
157	2002,08,08	 	Douai	59	20020808	objet circulaire pris en photo jeudi 8.08.02, pas de précision sur l'heure	 	Base ARCADIA
158	2002,08,04	 	Mont Saint Michel de Braspart	29	20020408	cinq sphères ovoïdes, passant à très grandes vitesse juste au dessus des arbres	 	Base ARCADIA
